uid,component_type,discipline,x1,y1,x2,y2,Airflow_m3h,Capacity_m3h,Coating,ContaminatedPath,Diameter_mm,DuctSize_mm,EquipmentType,FluidType,IP_Rating,Insulation,Length_m,Material,Material_Grade,PressureClass,PressureRating_PSI,SectionType,Status,Vendor,VoltageLevel,Voltage_V
CMP-100180,Junction_Box,Electrical,175.53,170.3,195.21,192.3,,,,,,,,,IP67,,,,,,,,Connected,Vendor_Theta,LV_415V,
CMP-100181,Pipe_Segment,Piping,271.8,116.07,291.79,153.19,,,,,300,,,Gas,,No,,Carbon_Steel,,,600,,Procured,,,
CMP-100182,Damper,HVAC,46.37,587.48,68.39,622.7,1200,,,,,600x400,,,,None,,Galvanized_Steel,,Low,,,,Vendor_HVAC_1,,
CMP-100183,Diffuser,HVAC,339.32,607.46,375.45,626.86,500,,,,,600x400,,,,Acoustic,,Galvanized_Steel,,Medium,,,Commissioned,Vendor_HVAC_1,,
CMP-100184,Cable_Tray,Electrical,101.23,182.84,121.7,211.0,,,,,,,,,IP55,,,,,,,,Connected,Vendor_Theta,,
CMP-100185,Pipe_Segment,Piping,152.94,513.29,171.48,531.06,,,,,150,,,Gas,,Yes,,PVC,,,600,,Procured,Vendor_Beta,,
CMP-100186,Switchgear,Electrical,176.78,698.12,209.12,736.34,,,,,,,,,IP55,,,,,,,,Energized,Vendor_Zeta,LV_415V,
CMP-100187,Pump,Equipment,873.91,684.09,898.7,723.95,,250,,,,,Centrifugal,,,,,,,,,,Ordered,Vendor_Delta,,6600
CMP-100188,I_Beam,Structural,234.2,707.67,253.4,744.8,,,Painted_Epoxy,,,,,,,,9.0,,,,,PFC_200,Inspected,,,
CMP-100189,Flange,Piping,250.99,95.62,266.02,120.27,,,,,200,,,Steam,,Yes,,Stainless_Steel,,,300,,Designed,Vendor_Alpha,,
CMP-100190,I_Beam,Structural,306.85,686.16,323.71,705.41,,,None,,,,,,,,3.0,,S355,,,,Inspected,,,
CMP-100191,Reducer,Piping,868.2,135.5,905.44,154.43,,,,,200,,,Gas,,No,,Stainless_Steel,,,600,,Designed,Vendor_Gamma,,
CMP-100192,Transformer,Electrical,69.05,22.67,86.24,58.27,,,,,,,,,IP55,,,,,,,,Energized,Vendor_Zeta,MV_11kV,
CMP-100193,Cable_Tray,Electrical,297.52,298.23,324.75,329.76,,,,,,,,,IP55,,,,,,,,Connected,Vendor_Theta,,
CMP-100194,Flange,Piping,415.77,204.38,451.7,233.49,,,,,,,,Oil,,Yes,,Carbon_Steel,,,600,,Tested,Vendor_Gamma,,
CMP-100195,Transformer,Electrical,448.64,75.27,486.21,108.13,,,,,,,,,IP67,,,,,,,,Laid,Vendor_Theta,HV_33kV,
CMP-100196,Heat_Exchanger,Equipment,894.95,585.92,913.1,611.5,,100,,,,,Reciprocating,,,,,,,,,,Ordered,,,3300
CMP-100197,Diffuser,HVAC,516.85,619.64,544.84,657.57,5000,,,,,,,,,None,,Galvanized_Steel,,Low,,,Balanced,Vendor_HVAC_2,,
CMP-100198,Switchgear,Electrical,364.74,359.91,394.96,375.85,,,,,,,,,IP67,,,,,,,,Laid,Vendor_Theta,LV_415V,
CMP-100199,Pump,Equipment,691.17,664.58,728.6,680.09,,500,,,,,Reciprocating,,,,,,,,,,,Vendor_Delta,,6600
CMP-100200,Platform,Structural,716.63,244.61,749.85,274.73,,,None,,,,,,,,9.0,,,,,UC_254x254,Fabricated,,,
CMP-100201,Platform,Structural,142.08,615.91,179.06,631.63,,,,,,,,,,,,,A36,,,UB_203x133,Fabricated,,,
CMP-100202,Bracing,Structural,761.16,373.59,792.05,391.69,,,Painted_Epoxy,,,,,,,,12.0,,,,,PFC_200,Erected,,,
CMP-100203,Flange,Piping,44.71,54.76,81.06,89.26,,,,,300,,,Water,,Yes,,Stainless_Steel,,,600,,Procured,Vendor_Gamma,,
CMP-100204,Valve,Piping,247.15,583.56,269.79,622.74,,,,,150,,,Water,,No,,Alloy_Steel,,,150,,Installed,Vendor_Gamma,,
CMP-100205,Air_Handler,HVAC,288.63,95.67,305.23,135.38,2500,,,,,600x400,,,,None,,Galvanized_Steel,,High,,,Balanced,Vendor_HVAC_1,,
CMP-100206,Switchgear,Electrical,253.48,313.0,278.19,328.88,,,,,,,,,IP65,,,,,,,,Laid,Vendor_Theta,HV_33kV,
CMP-100207,Bracing,Structural,780.88,608.45,817.79,627.98,,,Painted_Epoxy,,,,,,,,6.0,,,,,UC_254x254,Fabricated,,,
CMP-100208,Column,Structural,689.79,234.96,724.49,258.24,,,Galvanized,,,,,,,,3.0,,A572_G50,,,UB_203x133,Inspected,,,
CMP-100209,Switchgear,Electrical,391.8,629.59,410.57,669.4,,,,,,,,,IP65,,,,,,,,Energized,Vendor_Zeta,HV_33kV,
CMP-100210,Switchgear,Electrical,587.93,143.78,618.79,158.9,,,,,,,,,IP55,,,,,,,,Laid,Vendor_Theta,LV_415V,
CMP-100211,Junction_Box,Electrical,406.12,354.18,421.24,382.52,,,,,,,,,IP67,,,,,,,,Energized,,LV_415V,
CMP-100212,Heat_Exchanger,Equipment,644.17,261.04,662.39,285.63,,,,,,,Centrifugal,,,,,,,,,,Commissioned,Vendor_Epsilon,,
CMP-100213,Transformer,Electrical,328.46,650.97,352.44,670.68,,,,,,,,,,,,,,,,,Laid,Vendor_Zeta,MV_11kV,
CMP-100214,Damper,HVAC,130.85,517.78,165.65,542.16,500,,,,,200x200,,,,Thermal,,Galvanized_Steel,,High,,,Fabricated,Vendor_HVAC_2,,
CMP-100215,Heat_Exchanger,Equipment,645.67,461.22,668.2,492.76,,100,,,,,Reciprocating,,,,,,,,,,Ordered,Vendor_Delta,,415
CMP-100216,Transformer,Electrical,568.1,564.57,603.89,603.9,,,,,,,,,IP55,,,,,,,,Laid,Vendor_Theta,MV_11kV,
CMP-100217,Column,Structural,22.46,490.14,60.13,526.02,,,Painted_Epoxy,,,,,,,,,,A36,,,PFC_200,Erected,,,
CMP-100218,Bracing,Structural,437.85,89.87,457.22,105.86,,,,,,,,,,,3.0,,S355,,,PFC_200,Inspected,,,
CMP-100219,Storage_Tank,Equipment,341.77,326.4,372.32,363.36,,100,,,,,,,,,,,,,,,Installed,Vendor_Epsilon,,3300
CMP-100220,Transformer,Electrical,121.75,507.32,138.22,545.88,,,,,,,,,IP65,,,,,,,,Energized,Vendor_Theta,MV_11kV,
CMP-100221,I_Beam,Structural,796.32,635.97,829.5,673.26,,,Painted_Epoxy,,,,,,,,3.0,,A572_G50,,,UC_254x254,,,,
CMP-100222,Damper,HVAC,900.11,488.89,923.57,516.97,1200,,,,,200x200,,,,None,,Aluminum,,High,,,Fabricated,,,
CMP-100223,Compressor,Equipment,786.68,628.59,803.55,655.88,,,,,,,Reciprocating,,,,,,,,,,Delivered,,,6600
CMP-100224,Junction_Box,Electrical,99.22,368.92,122.12,408.44,,,,,,,,,IP65,,,,,,,,,Vendor_Zeta,LV_415V,
CMP-100225,Air_Handler,HVAC,821.1,413.63,852.46,440.04,5000,,,,,200x200,,,,Acoustic,,Aluminum,,High,,,,Vendor_HVAC_1,,
CMP-100226,Bracing,Structural,766.9,695.1,789.2,723.15,,,None,,,,,,,,12.0,,A36,,,UC_254x254,Fabricated,,,
CMP-100227,Transformer,Electrical,431.34,566.99,464.26,584.68,,,,,,,,,IP67,,,,,,,,Connected,Vendor_Zeta,HV_33kV,
CMP-100228,Cable_Tray,Electrical,497.33,54.0,535.71,89.97,,,,,,,,,IP55,,,,,,,,Laid,Vendor_Zeta,HV_33kV,
CMP-100229,Reducer,Piping,611.77,444.31,634.82,481.34,,,,,150,,,Gas,,Yes,,Stainless_Steel,,,300,,Installed,Vendor_Gamma,,
CMP-100230,Heat_Exchanger,Equipment,208.74,520.07,240.91,558.1,,100,,,,,Shell_and_Tube,,,,,,,,,,Ordered,Vendor_Epsilon,,6600
CMP-100231,Diffuser,HVAC,626.82,645.71,655.17,682.65,500,,,,,200x200,,,,Acoustic,,Galvanized_Steel,,Low,,,Balanced,Vendor_HVAC_1,,
CMP-100232,Column,Structural,698.23,42.61,733.58,60.17,,,None,,,,,,,,12.0,,S355,,,UB_203x133,Inspected,,,
CMP-100233,Reducer,Piping,368.8,689.69,408.2,712.51,,,,,100,,,Steam,,No,,Carbon_Steel,,,300,,Procured,Vendor_Alpha,,
CMP-100234,Valve,Piping,886.23,534.56,904.21,550.58,,,,,250,,,,,Yes,,PVC,,,150,,Designed,Vendor_Gamma,,
CMP-100235,Air_Handler,HVAC,461.5,420.87,485.45,455.47,500,,,,,400x300,,,,,,Aluminum,,Low,,,Installed,Vendor_HVAC_2,,
CMP-100236,Bracing,Structural,216.6,546.86,244.86,586.78,,,None,,,,,,,,12.0,,S355,,,,Inspected,,,
CMP-100237,Pump,Equipment,634.3,244.66,672.2,283.28,,50,,,,,Shell_and_Tube,,,,,,,,,,Commissioned,Vendor_Epsilon,,3300
CMP-100238,Storage_Tank,Equipment,482.51,683.75,501.69,722.66,,100,,,,,Centrifugal,,,,,,,,,,Commissioned,Vendor_Delta,,415
CMP-100239,Diffuser,HVAC,601.91,677.83,635.58,696.67,,,,,,600x400,,,,None,,Aluminum,,,,,Balanced,Vendor_HVAC_2,,
CMP-100240,Junction_Box,Electrical,304.76,292.65,322.72,307.8,,,,,,,,,IP67,,,,,,,,,Vendor_Theta,LV_415V,
CMP-100241,Duct,HVAC,280.85,500.12,311.01,522.16,500,,,,,800x600,,,,None,,Aluminum,,High,,,Installed,Vendor_HVAC_2,,
CMP-100242,Valve,Piping,130.91,23.52,160.83,51.95,,,,,300,,,Steam,,Yes,,PVC,,,300,,Installed,Vendor_Alpha,,
CMP-100243,Duct,HVAC,786.25,672.66,826.11,699.19,2500,,,,,600x400,,,,Thermal,,Aluminum,,,,,Installed,Vendor_HVAC_1,,
CMP-100244,Storage_Tank,Equipment,457.28,249.84,488.77,282.18,,250,,,,,Shell_and_Tube,,,,,,,,,,,Vendor_Delta,,415
CMP-100245,Switchgear,Electrical,776.1,114.01,809.42,150.96,,,,,,,,,IP65,,,,,,,,Laid,Vendor_Zeta,MV_11kV,
CMP-100246,Column,Structural,822.17,157.5,855.51,188.17,,,Painted_Epoxy,,,,,,,,,,A36,,,PFC_200,Fabricated,,,
CMP-100247,Flange,Piping,509.12,719.11,535.92,753.49,,,,,250,,,Water,,Yes,,Stainless_Steel,,,300,,Procured,Vendor_Alpha,,
CMP-100248,Transformer,Electrical,181.23,684.1,212.72,723.29,,,,,,,,,IP55,,,,,,,,Connected,Vendor_Theta,MV_11kV,
CMP-100249,Column,Structural,58.53,164.74,96.22,188.77,,,None,,,,,,,,9.0,,A572_G50,,,UB_203x133,Erected,,,
CMP-100250,Column,Structural,358.99,284.96,388.68,322.42,,,Painted_Epoxy,,,,,,,,9.0,,,,,UB_203x133,Erected,,,
CMP-100251,Duct,HVAC,471.65,117.28,490.79,134.21,1200,,,,,400x300,,,,Thermal,,Galvanized_Steel,,High,,,Commissioned,Vendor_HVAC_2,,
CMP-100252,Heat_Exchanger,Equipment,602.53,307.63,623.62,325.83,,50,,,,,Centrifugal,,,,,,,,,,,Vendor_Delta,,415
CMP-100253,Diffuser,HVAC,559.42,414.52,574.89,447.51,1200,,,,,600x400,,,,Thermal,,Galvanized_Steel,,Medium,,,Installed,Vendor_HVAC_2,,
CMP-100254,Storage_Tank,Equipment,850.12,437.57,866.84,462.03,,500,,,,,Centrifugal,,,,,,,,,,,Vendor_Delta,,6600
CMP-100255,Duct,HVAC,103.87,481.57,141.42,510.05,5000,,,,,,,,,Thermal,,Aluminum,,Medium,,,Commissioned,Vendor_HVAC_1,,
CMP-100256,Transformer,Electrical,249.07,556.1,286.82,573.2,,,,,,,,,IP55,,,,,,,,,Vendor_Zeta,HV_33kV,
CMP-100257,Duct,HVAC,487.79,282.52,507.93,317.63,2500,,,,,200x200,,,,None,,Aluminum,,High,,,Installed,Vendor_HVAC_2,,
CMP-100258,Storage_Tank,Equipment,523.18,358.63,562.89,388.07,,50,,,,,Reciprocating,,,,,,,,,,Delivered,Vendor_Epsilon,,3300
CMP-100259,I_Beam,Structural,164.66,695.2,179.79,712.48,,,,,,,,,,,9.0,,S355,,,UB_203x133,,,,
CMP-100260,Junction_Box,Electrical,572.57,384.7,605.36,414.64,,,,,,,,,IP65,,,,,,,,,Vendor_Theta,LV_415V,
CMP-100261,Pump,Equipment,725.56,377.38,758.02,407.76,,50,,,,,Reciprocating,,,,,,,,,,Commissioned,Vendor_Epsilon,,415
CMP-100262,Transformer,Electrical,485.97,535.85,502.69,553.1,,,,,,,,,IP65,,,,,,,,Connected,Vendor_Zeta,HV_33kV,
CMP-100263,Junction_Box,Electrical,537.42,202.78,562.6,220.44,,,,,,,,,IP55,,,,,,,,Connected,Vendor_Theta,,
CMP-100264,Junction_Box,Electrical,526.85,558.98,560.79,598.01,,,,,,,,,IP55,,,,,,,,Connected,,MV_11kV,
CMP-100265,Heat_Exchanger,Equipment,740.15,308.7,763.98,337.09,,50,,,,,Reciprocating,,,,,,,,,,Ordered,Vendor_Delta,,6600
CMP-100266,Switchgear,Electrical,338.18,646.02,359.91,684.7,,,,,,,,,IP55,,,,,,,,Laid,Vendor_Zeta,LV_415V,
CMP-100267,Heat_Exchanger,Equipment,771.45,605.43,795.35,639.9,,500,,,,,Centrifugal,,,,,,,,,,Commissioned,Vendor_Epsilon,,6600
CMP-100268,Switchgear,Electrical,461.72,709.08,499.62,731.09,,,,,,,,,IP67,,,,,,,,Connected,Vendor_Zeta,HV_33kV,
CMP-100269,Air_Handler,HVAC,374.35,500.44,393.72,539.85,500,,,,,800x600,,,,None,,Galvanized_Steel,,,,,Installed,Vendor_HVAC_1,,
CMP-100270,Platform,Structural,882.67,260.17,902.27,285.77,,,None,,,,,,,,6.0,,A572_G50,,,UC_254x254,Fabricated,,,
CMP-100271,Column,Structural,519.81,619.42,539.71,654.42,,,None,,,,,,,,6.0,,A572_G50,,,UB_203x133,Inspected,,,
CMP-100272,Platform,Structural,290.03,413.5,319.23,438.46,,,Painted_Epoxy,,,,,,,,3.0,,A36,,,UC_254x254,Erected,,,
CMP-100273,Air_Handler,HVAC,329.73,308.23,353.51,340.22,2500,,,,,400x300,,,,Thermal,,Aluminum,,High,,,Commissioned,Vendor_HVAC_1,,
CMP-100274,Storage_Tank,Equipment,399.63,448.62,424.75,486.3,,250,,,,,,,,,,,,,,,Commissioned,Vendor_Epsilon,,3300
CMP-100275,Platform,Structural,392.59,148.72,408.17,181.91,,,Galvanized,,,,,,,,12.0,,S355,,,UB_203x133,Erected,,,
CMP-100276,Duct,HVAC,43.73,297.91,77.85,314.99,,,,,,400x300,,,,Thermal,,Galvanized_Steel,,Medium,,,Installed,Vendor_HVAC_1,,
CMP-100277,Pipe_Segment,Piping,617.19,622.26,640.32,649.16,,,,,100,,,Oil,,No,,PVC,,,600,,Installed,Vendor_Beta,,
CMP-100278,Damper,HVAC,744.24,329.3,768.38,350.8,1200,,,,,200x200,,,,Thermal,,Aluminum,,Medium,,,Commissioned,Vendor_HVAC_1,,
CMP-100279,Flange,Piping,189.71,637.51,215.64,658.76,,,,,100,,,Gas,,No,,Alloy_Steel,,,300,,Designed,Vendor_Beta,,
CMP-100280,Reducer,Piping,575.96,210.49,606.53,230.18,,,,,,,,Oil,,No,,,,,150,,Procured,,,
CMP-100281,Reducer,Piping,215.47,314.17,250.11,341.63,,,,,100,,,Steam,,Yes,,Carbon_Steel,,,,,Installed,Vendor_Alpha,,
CMP-100282,Valve,Piping,366.32,702.48,387.5,742.34,,,,,100,,,Water,,No,,Carbon_Steel,,,600,,Designed,Vendor_Gamma,,
CMP-100283,Column,Structural,344.38,56.46,376.05,95.79,,,Galvanized,,,,,,,,3.0,,A572_G50,,,UB_203x133,,,,
CMP-100284,Reducer,Piping,639.57,128.49,673.84,149.71,,,,,300,,,Water,,Yes,,PVC,,,-9999,,Procured,Vendor_Gamma,,
CMP-100285,Platform,Structural,679.87,34.95,704.31,68.06,,,Galvanized,,,,,,,,12.0,,A36,,,UC_254x254,Erected,,,
CMP-100286,Switchgear,Electrical,800.9,439.08,837.41,458.09,,,,,,,,,IP65,,,,,,,,Connected,,MV_11kV,
CMP-100287,Diffuser,HVAC,680.29,638.05,710.78,662.15,5000,,,,,600x400,,,,Thermal,,Galvanized_Steel,,High,,,Balanced,Vendor_HVAC_1,,
CMP-100288,Valve,Piping,180.77,41.89,198.45,61.68,,,,,200,,,,,No,,,,,600,,Designed,,,
CMP-100289,Compressor,Equipment,855.56,602.45,882.26,633.42,,500,,,,,Shell_and_Tube,,,,,,,,,,,Vendor_Delta,,6600
CMP-100290,Flange,Piping,90.14,171.13,118.13,188.66,,,,,250,,,Oil,,Yes,,Alloy_Steel,,,600,,Installed,Vendor_Gamma,,
CMP-100291,Cable_Tray,Electrical,170.13,146.28,195.17,169.72,,,,,,,,,IP65,,,,,,,,Energized,Vendor_Theta,HV_33kV,
CMP-100292,Platform,Structural,707.77,321.41,740.92,351.62,,,Painted_Epoxy,,,,,,,,9.0,,A36,,,PFC_200,Erected,,,
CMP-100293,Pipe_Segment,Piping,904.66,437.03,932.6,476.87,,,,,100,,,Steam,,No,,PVC,,,150,,,Vendor_Alpha,,
CMP-100294,Storage_Tank,Equipment,350.37,427.51,371.19,462.79,,100,,,,,,,,,,,,,,,Commissioned,Vendor_Delta,,6600
CMP-100295,Air_Handler,HVAC,53.63,585.84,78.17,620.34,5000,,,,,600x400,,,,None,,Galvanized_Steel,,Low,,,Commissioned,,,
CMP-100296,Duct,HVAC,307.38,415.44,330.55,447.88,500,,,,,800x600,,,,Acoustic,,Galvanized_Steel,,Medium,,,Fabricated,Vendor_HVAC_2,,
CMP-100297,Reducer,Piping,471.64,561.68,489.9,580.05,,,,,250,,,Gas,,Yes,,Alloy_Steel,,,600,,Installed,Vendor_Gamma,,
CMP-100298,Pipe_Segment,Piping,624.57,316.48,648.28,339.5,,,,,100,,,Oil,,No,,Carbon_Steel,,,600,,,Vendor_Alpha,,
CMP-100299,Column,Structural,701.96,616.93,719.77,633.29,,,Galvanized,,,,,,,,,,A36,,,UC_254x254,Erected,,,
CMP-100300,Flange,Piping,208.11,396.6,228.21,424.68,,,,,100,,,Water,,,,Alloy_Steel,,,600,,Designed,Vendor_Gamma,,
CMP-100301,Air_Handler,HVAC,67.78,478.33,82.99,503.05,500,,,,,600x400,,,,None,,Aluminum,,High,,,,Vendor_HVAC_1,,
CMP-100302,Heat_Exchanger,Equipment,470.59,340.59,508.75,356.13,,500,,,,,Shell_and_Tube,,,,,,,,,,,Vendor_Epsilon,,415
CMP-100303,Column,Structural,916.39,705.01,938.29,721.56,,,Painted_Epoxy,,,,,,,,9.0,,A572_G50,,,UB_203x133,Inspected,,,
CMP-100304,Pump,Equipment,676.9,384.5,708.85,421.32,,100,,,,,Reciprocating,,,,,,,,,,Installed,Vendor_Delta,,3300
CMP-100305,Heat_Exchanger,Equipment,542.93,498.83,562.99,517.28,,500,,,,,Shell_and_Tube,,,,,,,,,,Delivered,Vendor_Delta,,415
CMP-100306,Storage_Tank,Equipment,775.57,121.87,791.31,144.84,,250,,,,,Reciprocating,,,,,,,,,,Delivered,,,415
CMP-100307,Air_Handler,HVAC,565.04,448.65,594.95,469.42,,,,,,,,,,Thermal,,Aluminum,,Low,,,Commissioned,Vendor_HVAC_1,,
CMP-100308,Heat_Exchanger,Equipment,223.65,306.01,262.87,344.15,,100,,,,,Centrifugal,,,,,,,,,,Commissioned,Vendor_Epsilon,,415
CMP-100309,Platform,Structural,818.83,319.29,853.24,349.49,,,Painted_Epoxy,,,,,,,,3.0,,S355,,,PFC_200,Fabricated,,,
CMP-100310,Compressor,Equipment,905.45,47.48,930.13,81.61,,500,,,,,Centrifugal,,,,,,,,,,Commissioned,Vendor_Delta,,3300
CMP-100311,Damper,HVAC,437.22,472.27,454.48,499.79,2500,,,,,400x300,,,,Acoustic,,Galvanized_Steel,,Low,,,Installed,Vendor_HVAC_1,,
CMP-100312,Pipe_Segment,Piping,655.6,463.85,672.73,496.53,,,,,200,,,Steam,,No,,Stainless_Steel,,,-9999,,Procured,Vendor_Gamma,,
CMP-100313,Reducer,Piping,297.26,531.11,336.28,553.33,,,,,50,,,Oil,,,,Stainless_Steel,,,300,,Designed,Vendor_Beta,,
CMP-100314,Heat_Exchanger,Equipment,549.98,353.0,575.23,369.99,,250,,,,,Centrifugal,,,,,,,,,,Delivered,,,6600
CMP-100315,Pump,Equipment,607.95,45.7,644.3,77.37,,50,,,,,Reciprocating,,,,,,,,,,Delivered,Vendor_Epsilon,,
CMP-100316,Damper,HVAC,889.66,544.53,913.66,560.43,5000,,,,,600x400,,,,Acoustic,,Galvanized_Steel,,Medium,,,Balanced,Vendor_HVAC_2,,
CMP-100317,Damper,HVAC,646.25,448.44,663.98,481.68,2500,,,,,200x200,,,,None,,Aluminum,,Medium,,,Commissioned,Vendor_HVAC_1,,
CMP-100318,Damper,HVAC,657.73,705.48,672.77,721.08,1200,,,,,200x200,,,,None,,Aluminum,,Medium,,,Installed,Vendor_HVAC_2,,
CMP-100319,Flange,Piping,290.26,405.0,324.44,422.85,,,,,250,,,Oil,,No,,Alloy_Steel,,,150,,Designed,Vendor_Beta,,
CMP-100320,Compressor,Equipment,822.85,395.88,846.23,430.48,,,,,,,Shell_and_Tube,,,,,,,,,,Installed,Vendor_Delta,,6600
CMP-100321,Storage_Tank,Equipment,739.58,641.62,763.42,680.86,,500,,,,,Centrifugal,,,,,,,,,,Commissioned,Vendor_Delta,,415
CMP-100322,Bracing,Structural,658.86,210.05,676.03,246.98,,,Galvanized,,,,,,,,9.0,,A572_G50,,,UC_254x254,Erected,,,
CMP-100323,Duct,HVAC,739.12,653.47,757.97,676.97,1200,,,,,600x400,,,,Acoustic,,Galvanized_Steel,,Low,,,Fabricated,,,
CMP-100324,Pipe_Segment,Piping,319.96,642.43,337.54,676.58,,,,,150,,,Gas,,Yes,,Carbon_Steel,,,150,,Designed,Vendor_Alpha,,
CMP-100325,I_Beam,Structural,33.73,456.06,61.58,476.22,,,Painted_Epoxy,,,,,,,,6.0,,A572_G50,,,PFC_200,Erected,,,
CMP-100326,Diffuser,HVAC,65.65,40.29,103.23,56.55,1200,,,,,200x200,,,,Thermal,,Aluminum,,High,,,Installed,Vendor_HVAC_1,,
CMP-100327,Transformer,Electrical,103.62,581.65,136.08,599.08,,,,,,,,,IP65,,,,,,,,Laid,Vendor_Theta,HV_33kV,
CMP-100328,Platform,Structural,185.02,662.09,208.28,698.61,,,Galvanized,,,,,,,,9.0,,A572_G50,,,,Erected,,,
CMP-100329,Damper,HVAC,477.15,303.98,510.01,321.65,5000,,,,,200x200,,,,Thermal,,Galvanized_Steel,,Medium,,,Balanced,Vendor_HVAC_2,,
CMP-100330,Switchgear,Electrical,510.07,185.31,541.64,202.26,,,,,,,,,IP55,,,,,,,,Connected,Vendor_Zeta,HV_33kV,
CMP-100331,Transformer,Electrical,297.23,304.06,327.19,336.2,,,,,,,,,IP67,,,,,,,,Laid,Vendor_Zeta,MV_11kV,
CMP-100332,Duct,HVAC,701.37,482.62,727.69,504.91,2500,,,,,800x600,,,,Thermal,,Aluminum,,High,,,Fabricated,Vendor_HVAC_2,,
CMP-100333,Storage_Tank,Equipment,76.17,650.75,115.37,665.77,,250,,,,,Reciprocating,,,,,,,,,,Commissioned,Vendor_Epsilon,,415
CMP-100334,Junction_Box,Electrical,411.67,167.85,431.01,186.33,,,,,,,,,IP55,,,,,,,,Energized,Vendor_Zeta,MV_11kV,
CMP-100335,Pipe_Segment,Piping,149.6,639.42,181.05,678.79,,,,,200,,,Oil,,No,,Stainless_Steel,,,600,,Tested,Vendor_Alpha,,
CMP-100336,Compressor,Equipment,564.12,424.56,600.29,445.48,,250,,,,,Reciprocating,,,,,,,,,,,Vendor_Epsilon,,
CMP-100337,Reducer,Piping,885.56,76.04,918.81,104.2,,,,,50,,,Water,,,,PVC,,,600,,Installed,Vendor_Beta,,
CMP-100338,Duct,HVAC,441.98,378.86,468.71,412.21,500,,,,,600x400,,,,,,Aluminum,,High,,,Installed,Vendor_HVAC_2,,
CMP-100339,Duct,HVAC,278.13,77.76,305.77,114.05,2500,,,,,400x300,,,,None,,Galvanized_Steel,,Low,,,Commissioned,Vendor_HVAC_1,,
CMP-100340,Column,Structural,456.43,579.56,492.98,603.13,,,Galvanized,,,,,,,,12.0,,,,,UB_203x133,Inspected,,,
CMP-100341,Heat_Exchanger,Equipment,539.98,609.28,556.34,630.89,,500,,,,,Centrifugal,,,,,,,,,,Delivered,Vendor_Epsilon,,3300
CMP-100342,Switchgear,Electrical,150.63,629.19,165.93,667.37,,,,,,,,,IP67,,,,,,,,Laid,,HV_33kV,
CMP-100343,Air_Handler,HVAC,880.57,322.25,918.52,358.71,2500,,,,,600x400,,,,None,,Galvanized_Steel,,Medium,,,Balanced,Vendor_HVAC_1,,
CMP-100344,I_Beam,Structural,625.52,602.18,640.82,619.62,,,,,,,,,,,6.0,,A572_G50,,,PFC_200,Fabricated,,,
CMP-100345,Damper,HVAC,875.44,466.66,908.14,484.66,1200,,,,,400x300,,,,Acoustic,,Aluminum,,High,,,Balanced,Vendor_HVAC_2,,
CMP-100346,Column,Structural,722.66,214.1,739.22,238.81,,,Galvanized,,,,,,,,3.0,,A572_G50,,,UC_254x254,Fabricated,,,
CMP-100347,Cable_Tray,Electrical,149.49,558.1,169.95,589.18,,,,,,,,,IP55,,,,,,,,,Vendor_Theta,HV_33kV,
CMP-100348,Cable_Tray,Electrical,826.86,124.2,857.87,162.52,,,,,,,,,IP65,,,,,,,,Energized,,MV_11kV,
CMP-100349,Junction_Box,Electrical,412.45,610.83,446.97,645.46,,,,,,,,,IP67,,,,,,,,Connected,Vendor_Theta,LV_415V,
CMP-100350,Bracing,Structural,380.55,462.59,419.52,479.86,,,Galvanized,,,,,,,,9.0,,A572_G50,,,,Erected,,,
CMP-100351,Storage_Tank,Equipment,646.29,647.52,677.06,671.5,,100,,,,,,,,,,,,,,,,Vendor_Delta,,415
CMP-100352,Junction_Box,Electrical,76.69,398.39,99.38,426.74,,,,,,,,,IP55,,,,,,,,,,MV_11kV,
CMP-100353,Reducer,Piping,126.37,584.97,158.05,611.43,,,,,100,,,Oil,,No,,Stainless_Steel,,,150,,Designed,Vendor_Gamma,,
CMP-100354,Pump,Equipment,175.02,54.97,197.7,89.81,,50,,,,,Centrifugal,,,,,,,,,,Delivered,,,415
CMP-100355,Compressor,Equipment,323.61,605.13,357.06,630.18,,100,,,,,Shell_and_Tube,,,,,,,,,,Delivered,Vendor_Delta,,415
CMP-100356,Column,Structural,701.8,137.64,726.05,156.77,,,None,,,,,,,,,,S355,,,,Fabricated,,,
CMP-100357,Reducer,Piping,92.65,25.06,130.8,57.73,,,,,200,,,Oil,,No,,PVC,,,150,,Procured,Vendor_Alpha,,
CMP-100358,Damper,HVAC,665.48,448.43,682.68,484.09,,,,,,800x600,,,,None,,Galvanized_Steel,,Low,,,Commissioned,Vendor_HVAC_1,,
CMP-100359,I_Beam,Structural,194.35,577.63,226.48,616.84,,,Galvanized,,,,,,,,,,A36,,,UB_203x133,Erected,,,
CMP-100360,Diffuser,HVAC,58.99,538.29,97.11,557.69,500,,,,,800x600,,,,None,,Aluminum,,High,,,Balanced,Vendor_HVAC_1,,
CMP-100361,Column,Structural,108.26,536.42,145.01,560.81,,,None,,,,,,,,6.0,,A572_G50,,,UB_203x133,Erected,,,
CMP-100362,Column,Structural,431.97,155.91,455.93,177.65,,,Painted_Epoxy,,,,,,,,3.0,,A36,,,UB_203x133,Erected,,,
CMP-100363,Storage_Tank,Equipment,563.27,572.68,594.22,602.97,,50,,,,,Shell_and_Tube,,,,,,,,,,Delivered,Vendor_Epsilon,,6600
